startDate,startTime,name,id,zebra_name,zebra_price
20240122,1705968600000,Detroit Pistons - Milwaukee Bucks,44274192,Detroit Pistons,7.6
20240122,1705968600000,Philadelphia 76ers - San Antonio Spurs,44274250,San Antonio Spurs,8.75
20240122,1705972200000,Minnesota Timberwolves - Charlotte Hornets,44274322,Charlotte Hornets,7.6
20240123,1706058600000,Oklahoma City Thunder - Portland Trail Blazers,44318827,Portland Trail Blazers,5.8
20240122,1705968600000,Orlando Magic - Cleveland Cavaliers,44274229,Orlando Magic,12.0
20240122,1705970400000,Toronto Raptors - Memphis Grizzlies,44274280,Toronto Raptors,6.1
